mmsi,time,status,speed,longitude,latitude,draft
356269000,1637863764,15,0,128.606567,34.898979,789056
356269000,1637864487,15,0,128.606552,34.898994,789056
356269000,1637865744,15,0,128.606491,34.898987,789056
356269000,1637865924,15,0,128.606491,34.899002,789056
356269000,1637866107,15,0,128.606491,34.898998,789056
356269000,1637866824,15,0,128.606461,34.899006,789056
356269000,1637867004,15,0,128.606461,34.899002,789056
356269000,1637867367,15,0,128.606461,34.898998,789056
356269000,1637867723,15,0,128.606476,34.898994,789056
356269000,1637867903,15,0,128.606491,34.898994,789056
356269000,1637868084,15,0,128.606491,34.898994,789056
356269000,1637868623,15,0,128.606491,34.898998,789056
356269000,1637868803,15,0,128.606476,34.898994,789056
356269000,1637869164,15,0,128.606491,34.898987,789056
356269000,1637870244,15,0,128.606506,34.898991,789056
356269000,1637870783,15,0,128.606537,34.898998,789056
356269000,1637871143,15,0,128.606537,34.898994,789056
356269000,1637871863,15,0,128.606522,34.899036,789056
356269000,1637872404,15,0,128.606537,34.899036,789056
356269000,1637873486,15,0,128.606537,34.899002,789056
356269000,1637875103,15,0,128.606567,34.899002,789056
356269000,1637875643,15,0,128.606552,34.898998,789056
356269000,1637876363,15,0,128.606537,34.899006,789056
356269000,1637876724,15,0,128.606552,34.898994,789056
356269000,1637877625,15,0,128.606552,34.898998,789056
356269000,1637877626,15,0,128.606552,34.898998,789056
356269000,1637878703,15,0,128.606552,34.899006,789056
356269000,1637878704,15,0,128.606552,34.899006,789056
356269000,1637878705,15,0,128.606552,34.899006,789056
356269000,1637879783,15,0,128.606522,34.899002,789056
356269000,1637881764,15,0,128.606522,34.899036,789056
356269000,1637884104,15,0,128.606522,34.899036,789056
356269000,1637885544,15,0,128.606537,34.898998,789056
356269000,1637885546,15,0,128.606537,34.898998,789056
356269000,1637886083,15,0,128.606537,34.898991,789056
356269000,1637887164,15,0,128.606567,34.898991,789056
356269000,1637888246,15,0,128.606537,34.898991,789056
356269000,1637889324,15,0,128.606567,34.898998,789056
356269000,1637889686,15,0,128.606552,34.899017,789056
356269000,1637890405,15,0,128.606552,34.899036,789056
356269000,1637891124,15,0,128.606567,34.899029,789056
356269000,1637891665,15,0,128.606537,34.898998,789056
356269000,1637892564,15,0,128.606537,34.899006,789056
356269000,1637892745,15,0,128.606537,34.899025,789056
356269000,1637893463,15,0,128.606567,34.89904,789056
356269000,1637893644,15,0,128.606552,34.899029,789056
356269000,1637893645,15,0,128.606552,34.899029,789056
356269000,1637893646,15,0,128.606552,34.899029,789056
356269000,1637894363,15,0,128.606537,34.899002,789056
356269000,1637895084,15,0,128.606522,34.898987,789056
356269000,1637895445,15,0,128.606537,34.898994,789056
356269000,1637896525,15,0,128.606552,34.899002,789056
356269000,1637896886,15,0,128.606567,34.89901,789056
356269000,1637897964,15,0,128.606537,34.899021,789056
356269000,1637898323,15,0,128.606537,34.899021,789056
356269000,1637899585,15,0,128.606522,34.899002,789056
356269000,1637900124,15,0,128.606552,34.899017,789056
356269000,1637900126,15,0,128.606552,34.899017,789056
356269000,1637900664,15,0,128.606567,34.899025,789056
356269000,1637902104,15,0,128.606537,34.899017,789056
356269000,1637903006,15,0,128.606537,34.898983,789056
356269000,1637903184,15,0,128.606537,34.898975,789056
356269000,1637904265,15,0,128.606537,34.899006,789056
356269000,1637904806,15,0,128.606522,34.899002,789056
356269000,1637905704,15,0,128.606522,34.898991,789056
356269000,1637907504,15,0,128.606552,34.898983,789056
356269000,1637908584,15,1,128.606552,34.899021,789056
356269000,1637908948,15,0,128.606552,34.898994,789056
356269000,1637909305,15,0,128.606552,34.898998,789056
356269000,1637909664,15,0,128.606552,34.899002,789056
356269000,1637910026,15,0,128.606567,34.899014,789056
356269000,1637910205,15,0,128.606537,34.899017,789056
356269000,1637910744,15,0,128.606537,34.899014,789056
356269000,1637911646,15,0,128.606537,34.899017,789056
356269000,1637911824,15,0,128.606537,34.899029,789056
356269000,1637912547,15,0,128.606491,34.898991,789056
356269000,1637913984,15,0,128.606537,34.898987,789056
356269000,1637913986,15,0,128.606537,34.898987,789056
356269000,1637915064,15,0,128.606506,34.899033,789056
356269000,1637915423,15,0,128.606552,34.899002,789056
356269000,1637916508,15,1,128.606537,34.898964,789056
356269000,1637917584,15,0,128.606537,34.898998,789056
356269000,1637917586,15,0,128.606537,34.898998,789056
356269000,1637917946,15,0,128.606552,34.899006,789056
356269000,1637919385,15,0,128.606567,34.898998,789056
356269000,1637919386,15,0,128.606567,34.898998,789056
356269000,1637919928,15,0,128.606567,34.898994,789056
356269000,1637920103,15,0,128.606567,34.898998,789056
356269000,1637920465,15,0,128.606552,34.89901,789056
356269000,1637920644,15,0,128.606552,34.899021,789056
356269000,1637921364,15,0,128.606552,34.898994,789056
356269000,1637921907,15,0,128.606522,34.898998,789056
356269000,1637922444,15,0,128.606537,34.899002,789056
356269000,1637923704,15,0,128.606583,34.899033,789056
356269000,1637923885,15,0,128.606583,34.899021,789056
356269000,1637924425,15,0,128.606583,34.898991,789056
356269000,1637924784,15,0,128.606583,34.899002,789056
356269000,1637924968,15,0,128.606583,34.898998,789056
356269000,1637925867,15,0,128.606552,34.899017,789056
356269000,1637927126,15,0,128.606552,34.899029,789056
356269000,1637927304,15,0,128.606537,34.899017,789056
356269000,1637927484,15,0,128.606552,34.899017,789056
356269000,1637927665,15,0,128.606552,34.899006,789056
356269000,1637928026,15,0,128.606552,34.899021,789056
356269000,1637928744,15,0,128.606522,34.899014,789056
356269000,1637928925,15,0,128.606537,34.89901,789056
356269000,1637929106,15,0,128.606522,34.898998,789056
356269000,1637929643,15,0,128.606522,34.898994,789056
356269000,1637929644,15,0,128.606522,34.898994,789056
356269000,1637930184,15,0,128.606552,34.899014,789056
356269000,1637930726,15,0,128.606537,34.899021,789056
356269000,1637932887,15,0,128.606567,34.899017,789056
356269000,1637933606,15,0,128.606552,34.899021,789056
356269000,1637934683,15,0,128.606552,34.899006,789056
356269000,1637935224,15,0,128.606537,34.89901,789056
356269000,1637935947,15,0,128.606522,34.899014,789056
356269000,1637937387,15,0,128.606552,34.898979,789056
356269000,1637938109,15,0,128.606552,34.898979,789056
356269000,1637939727,15,0,128.606522,34.898975,789056
356269000,1637940806,15,0,128.606537,34.898998,789056
356269000,1637940987,15,0,128.606552,34.899029,789056
356269000,1637941708,15,0,128.606537,34.899033,789056
356269000,1637943143,15,0,128.606552,34.898998,789056
356269000,1637943144,15,0,128.606552,34.898998,789056
356269000,1637943147,15,0,128.606552,34.898998,789056
356269000,1637943683,15,0,128.606552,34.89901,789056
356269000,1637944406,15,0,128.606552,34.898994,789056
356269000,1637944763,15,0,128.606552,34.899014,789056
356269000,1637944764,15,0,128.606552,34.899014,789056
356269000,1637946746,15,0,128.606522,34.899017,789056
356269000,1637946927,15,0,128.606537,34.899006,789056
356269000,1637947827,15,0,128.606537,34.89896,789056
356269000,1637948545,15,0,128.606567,34.898987,789056
356269000,1637948906,15,0,128.606552,34.898983,789056
356269000,1637949807,15,0,128.606537,34.898994,789056
356269000,1637950343,15,0,128.606537,34.898994,789056
356269000,1637950707,15,0,128.606537,34.89901,789056
356269000,1637950884,15,0,128.606522,34.899006,789056
356269000,1637950885,15,0,128.606522,34.899006,789056
356269000,1637951243,15,0,128.606506,34.898998,789056
356269000,1637951967,15,0,128.606506,34.898975,789056
356269000,1637953225,15,0,128.606476,34.898991,789056
356269000,1637953227,15,0,128.606476,34.898991,789056
356269000,1637954484,15,0,128.606491,34.899036,789056
356269000,1637955384,15,0,128.606506,34.899021,789056
356269000,1637955925,15,0,128.606506,34.899021,789056
356269000,1637956464,15,0,128.606506,34.899033,789056
356269000,1637956828,15,0,128.606522,34.899029,789056
356269000,1637957903,15,0,128.606537,34.899029,789056
356269000,1637958448,15,0,128.606552,34.899036,789056
356269000,1637959346,15,0,128.606552,34.899014,789056
356269000,1637959528,15,0,128.606567,34.899014,789056
356269000,1637960247,15,0,128.606537,34.899006,789056
356269000,1637960783,15,0,128.606537,34.898998,789056
356269000,1637961325,15,0,128.606552,34.899002,789056
356269000,1637961863,15,0,128.606567,34.899006,789056
356269000,1637962766,15,0,128.606537,34.899014,789056
356269000,1637963845,15,0,128.606552,34.899002,789056
356269000,1637964024,15,0,128.606567,34.898998,789056
356269000,1637964208,15,0,128.606567,34.898998,789056
356269000,1637964927,15,0,128.606552,34.898998,789056
356269000,1637965103,15,0,128.606552,34.898987,789056
356269000,1637965467,15,0,128.606537,34.898998,789056
356269000,1637966185,15,0,128.606537,34.898994,789056
356269000,1637967983,15,0,128.606522,34.899029,789056
356269000,1637969064,15,0,128.606537,34.899036,789056
356269000,1637969423,15,0,128.606506,34.899044,789056
356269000,1637969783,15,0,128.606506,34.899052,789056
356269000,1637970323,15,0,128.606506,34.899036,789056
356269000,1637970503,15,0,128.606522,34.899044,789056
356269000,1637970863,15,0,128.606506,34.899052,789056
356269000,1637970866,15,0,128.606506,34.899052,789056
356269000,1637971943,15,0,128.606552,34.898987,789056
356269000,1637973023,15,0,128.606537,34.899014,789056
356269000,1637973025,15,0,128.606537,34.899014,789056
356269000,1637973924,15,0,128.606552,34.899033,789056
356269000,1637973926,15,0,128.606552,34.899033,789056
356269000,1637974104,15,0,128.606552,34.899036,789056
356269000,1637975003,15,0,128.606567,34.899033,789056
356269000,1637975186,15,0,128.606552,34.899006,789056
356269000,1637976084,15,0,128.606583,34.899006,789056
356269000,1637976268,15,0,128.606552,34.899017,789056
356269000,1637977164,15,0,128.606567,34.89901,789056
356269000,1637978429,15,0,128.606567,34.899021,789056
356269000,1637980223,15,0,128.606537,34.898998,789056
356269000,1637981304,15,0,128.606522,34.899002,789056
356269000,1637982023,15,0,128.606537,34.899002,789056
356269000,1637982384,15,0,128.606552,34.899002,789056
356269000,1637983108,15,0,128.606522,34.898994,789056
356269000,1637983463,15,0,128.606522,34.899002,789056
356269000,1637983644,15,0,128.606522,34.899014,789056
356269000,1637984183,15,0,128.606537,34.89901,789056
356269000,1637984723,15,0,128.606567,34.899036,789056
356269000,1637985983,15,0,128.606537,34.899029,789056
356269000,1637987063,15,0,128.606552,34.899002,789056
356269000,1637987963,15,0,128.606552,34.89901,789056
356269000,1637989764,15,0,128.606552,34.898972,789056
356269000,1637990123,15,0,128.606522,34.898991,789056
356269000,1637990844,15,0,128.606552,34.899002,789056
356269000,1637991743,15,0,128.606537,34.899021,789056
356269000,1637991923,15,0,128.606537,34.899002,789056
356269000,1637992643,15,1,128.606537,34.899014,789056
356269000,1637993003,15,0,128.606537,34.899002,789056
356269000,1637993006,15,0,128.606537,34.899002,789056
356269000,1637994263,15,0,128.606506,34.899029,789056
356269000,1637994987,15,0,128.606537,34.898998,789056
356269000,1637995883,15,0,128.606552,34.899002,789056
356269000,1637996246,15,0,128.606537,34.89901,789056
356269000,1637997503,15,0,128.606506,34.898998,789056
356269000,1637997687,15,0,128.606506,34.898994,789056
356269000,1637998946,15,0,128.606491,34.898983,789056
356269000,1637999484,15,0,128.606506,34.898991,789056
356269000,1638000387,15,0,128.606522,34.899025,789056
356269000,1638000563,15,0,128.606522,34.899002,789056
356269000,1638001106,15,0,128.606522,34.899033,789056
356269000,1638001643,15,0,128.606552,34.899014,789056
356269000,1638002367,15,0,128.606537,34.899017,789056
356269000,1638003623,15,0,128.606522,34.899017,789056
356269000,1638004523,15,0,128.606522,34.899002,789056
356269000,1638005067,15,0,128.606537,34.898998,789056
356269000,1638005423,15,0,128.606552,34.899021,789056
356269000,1638005603,15,0,128.606537,34.899033,789056
356269000,1638006681,15,0,128.606567,34.899029,789056
356269000,1638006683,15,0,128.606567,34.899029,789056
356269000,1638006684,15,0,128.606567,34.899029,789056
356269000,1638007943,15,0,128.606522,34.898991,789056
356269000,1638008668,15,0,128.606567,34.899006,789056
356269000,1638009203,15,0,128.606567,34.898994,789056
356269000,1638009743,15,0,128.606567,34.89901,789056
356269000,1638010103,15,0,128.606567,34.89901,789056
356269000,1638010644,15,0,128.606567,34.898991,789056
356269000,1638011545,15,0,128.606583,34.899014,789056
356269000,1638012623,15,0,128.606522,34.899025,789056
356269000,1638013343,15,0,128.606537,34.899063,789056
356269000,1638014425,15,0,128.606537,34.899036,789056
356269000,1638014427,15,0,128.606537,34.899036,789056
356269000,1638014784,15,0,128.606522,34.899029,789056
356269000,1638015685,15,0,128.606537,34.899006,789056
356269000,1638016225,15,0,128.606552,34.899002,789056
356269000,1638016944,15,0,128.606537,34.898994,789056
356269000,1638017305,15,0,128.606552,34.898987,789056
356269000,1638017844,15,0,128.606552,34.899036,789056
356269000,1638018385,15,0,128.606567,34.899021,789056
356269000,1638018924,15,0,128.606552,34.898998,789056
356269000,1638019467,15,0,128.606552,34.898991,789056
356269000,1638021447,15,0,128.606522,34.899006,789056
356269000,1638022348,15,0,128.606522,34.899006,789056
356269000,1638023064,15,0,128.606522,34.898972,789056
356269000,1638023065,15,0,128.606522,34.898972,789056
356269000,1638023428,15,0,128.606537,34.898979,789056
356269000,1638023964,15,0,128.606552,34.898979,789056
356269000,1638024508,15,0,128.606552,34.898991,789056
356269000,1638025044,15,0,128.606537,34.899002,789056
356269000,1638027926,15,0,128.606522,34.899029,789056
356269000,1638028465,15,0,128.606522,34.899002,789056
356269000,1638029185,15,0,128.606552,34.899002,789056
356269000,1638029544,15,0,128.606552,34.899017,789056
356269000,1638030985,15,0,128.606552,34.899002,789056
356269000,1638031345,15,0,128.606552,34.898994,789056
356269000,1638033147,15,0,128.606537,34.899036,789056
356269000,1638034044,15,0,128.606552,34.898994,789056
356269000,1638034228,15,0,128.606552,34.898987,789056
356269000,1638035303,15,0,128.606522,34.899006,789056
356269000,1638036204,15,0,128.606552,34.899014,789056
356269000,1638037284,15,0,128.606537,34.898987,789056
